"SITENAME","DATE","TIME","SALINITY","TN","TP","TOC","NH4","N.N","NO2","SRP","DOC","NO3","DIN","WY","season","Chla","STATION"
"SRS1a",2001-06-12,"13:00",0,0.5291030925,0.02044268292,1437.5,0.028713735,0.006022881,0.12,0.0011,15.6839684131,0.31,0.034736616,2002,"A_Wet",NA,"SRS1a"
"SRS1a",2001-07-31,"11:00",0,0.8159743152,0.01362845528,1377.5,0.08964288,0.050284053,0.39,0.0011,16.4446540869,3.2,0.139926933,2002,"A_Wet",NA,"SRS1a"
"SRS1a",2001-09-13,"12:00",0,0.6688899585,0.00836291574,1397.5,0.11345427,0.036137286,0.2,0.0011,17.895943,2.38,0.149591556,2002,"A_Wet",NA,"SRS1a"
"SRS1a",2001-10-22,"12:00",0,0.6672511746,0.00340711382,1265.833,0.0420201,0.027873333,0.12,0.0011,15.4537713369,1.86,0.069893433,2002,"A_Wet",NA,"SRS1a"
"SRS1a",2001-11-28,"14:00",0,0.5513597388,NA,1159.167,0.02941407,0.005322546,0.09,0.0011,13.9524338369,0.29,0.034736616,2002,"B_Dry",NA,"SRS1a"
"SRS1a",2001-12-19,"11:00",0,0.5635455678,0.00278763858,1130.833,0.035717085,0.003641742,0.06,0.0011,13.5820959131,0.2,0.039358827,2002,"B_Dry",NA,"SRS1a"
"SRS1a",2002-01-22,"13:00",0,0.5173654779,0.00743370288,1145.833,0.093704823,0.021290184,0.11,0.0030973762,13.7722733369,1.41,0.114995007,2002,"B_Dry",NA,"SRS1a"
"SRS1a",2002-02-28,"09:00",0,0.3420296073,0.01765504434,1167.5,0.03781809,0.0012,0.04,0.0011,14.74313425,0.01,0.03901809,2002,"B_Dry",NA,"SRS1a"
"SRS1a",2002-03-28,"11:00",0,0.3055421538,0.02384979674,1263.333,0.076616649,0.003221541,0.09,0.00247790096,15.2936206631,0.14,0.07983819,2002,"B_Dry",NA,"SRS1a"
"SRS1a",2002-04-09,"09:30",0,0.6154263846,0.01331871766,1248.333,0.115275141,0.006022881,0.1,0.0011,15.2135573369,0.33,0.121298022,2002,"B_Dry",NA,"SRS1a"
"SRS1a",2002-05-08,"11:00",0,1.0080341856,0.0278763858,1317.5,0.074375577,0.0012,0.08,0.0011,16.1043429131,0.04,0.075575577,2003,"A_Wet",NA,"SRS1a"
"SRS1a",2002-06-25,"10:00",0,0.5174355114,0.0061947524,1082.5,NA,0.094545225,0.49,0.0011,12.4110526631,6.27,NA,2003,"A_Wet",NA,"SRS1a"
"SRS1a",2002-07-29,"11:00",0,1.0515109824,0.00340711382,1755.417,0.019469313,0.041739966,0.12,0.0011,21.0537602119,2.87,0.061209279,2003,"A_Wet",NA,"SRS1a"
